curve,feedback_snr_db,sum_rate_mean,sum_rate_se
Universal Proposed,0.0,10.74325942993164,0.06393958926200867
Universal Proposed,5.0,15.61828327178955,0.07769998908042908
Universal Proposed,10.0,21.0237979888916,0.0801469087600708
Universal Proposed,15.0,24.76025390625,0.07824129462242127
Universal Proposed,20.0,26.586305618286133,0.07955542206764221
Universal Proposed,25.0,27.29189682006836,0.08044863343238831
Allocation-specific specialist,0.0,11.287507057189941,0.06525903344154357
Allocation-specific specialist,5.0,16.10982322692871,0.07683511972427368
Allocation-specific specialist,10.0,21.755104064941406,0.07988336682319641
Allocation-specific specialist,15.0,26.15117645263672,0.07616207599639893
Allocation-specific specialist,20.0,28.355615615844727,0.07705978751182556
Allocation-specific specialist,25.0,29.29336166381836,0.07883721590042114
Swin-CFNet,0.0,24.7794189453125,0.07324566245079041
Swin-CFNet,5.0,27.170312881469727,0.07899961471557618
Swin-CFNet,10.0,28.286455154418945,0.08335580825805664
Swin-CFNet,15.0,28.674570083618164,0.08494903445243836
Swin-CFNet,20.0,28.81121253967285,0.08565370440483093
Swin-CFNet,25.0,28.854381561279297,0.08595499396324158
CsiNet+,0.0,16.738492965698242,0.07609015703201294
CsiNet+,5.0,19.375165939331055,0.0898215115070343
CsiNet+,10.0,20.685813903808594,0.09868236780166625
CsiNet+,15.0,21.20708465576172,0.10291956663131714
CsiNet+,20.0,21.39715576171875,0.10480377674102784
CsiNet+,25.0,21.454988479614258,0.10508828163146973
